Day Index,Users
7/22/2020 0:00,1519
7/23/2020 0:00,1580
7/24/2020 0:00,1504
7/25/2020 0:00,1282
7/26/2020 0:00,521
7/27/2020 0:00,656
7/28/2020 0:00,1493
7/29/2020 0:00,1501
7/30/2020 0:00,1535
7/31/2020 0:00,1456
8/1/2020 0:00,1056
8/2/2020 0:00,424
8/3/2020 0:00,519
8/4/2020 0:00,1278
8/5/2020 0:00,1424
8/6/2020 0:00,1524
8/7/2020 0:00,1366
8/8/2020 0:00,4320
